[2022-08-30 18:28:55.0326] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:28:55.0326] | Info | 正在加载怪物数据库... 
[2022-08-30 18:28:55.1043] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:28:55.1045] | Info | 正在加载技能数据库... 
[2022-08-30 18:28:55.1166] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:28:55.1166] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:28:55.1302] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:28:55.1304] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:28:55.1314] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:28:55.1331] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:28:55.1336] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:28:55.1336] | Info | 加载物品寄售系统... 
[2022-08-30 18:28:55.1364] | Info | 正在加载任务地图信息... 
[2022-08-30 18:28:55.1384] | Info | 加载任务地图信息成功... 
[2022-08-30 18:28:55.1384] | Info | 正在加载任务说明信息... 
[2022-08-30 18:28:55.1384] | Info | 加载任务说明信息成功... 
[2022-08-30 18:28:55.1395] | Info | 正在加载公告提示信息... 
[2022-08-30 18:28:55.1561] | Info | 加载公告提示信息成功... 
[2022-08-30 18:28:55.1688] | Info | 管理员列表加载成功... 
[2022-08-30 18:28:55.1820] | Info | 行会列表加载成功... 
[2022-08-30 18:28:55.1856] | Info | 城堡列表加载成功... 
[2022-08-30 18:28:55.1915] | Info | 城堡城初始完成... 
[2022-08-30 18:28:55.1939] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:28:55.1952] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:28:55.1996] | Info | 地图环境加载成功... 
[2022-08-30 18:28:55.2436] | Info | 矿物数据初始成功... 
[2022-08-30 18:28:55.2480] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:28:55.2515] | Info | 守卫列表加载成功... 
[2022-08-30 18:28:55.2515] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:28:55.2529] | Info | 炼制物品信息加载成功... 
